Epoch 47, Loss: 1.8533897399902344, Accuracy: 99.46161651611328, Val Loss: 0.08209474384784698, Val Accuracy: 99.46719360351562
Epoch 48, Loss: 1.8533847332000732, Accuracy: 99.46163177490234, Val Loss: 0.08209479600191116, Val Accuracy: 99.46720123291016
Epoch 49, Loss: 1.8533051013946533, Accuracy: 99.46163177490234, Val Loss: 0.08209415525197983, Val Accuracy: 99.46720123291016
Epoch 50, Loss: 1.8532640933990479, Accuracy: 99.46163177490234, Val Loss: 0.08209218829870224, Val Accuracy: 99.46720886230469
Epoch 51, Loss: 1.8534271717071533, Accuracy: 99.46163177490234, Val Loss: 0.08210594952106476, Val Accuracy: 99.46720886230469
Epoch 52, Loss: 1.8534746170043945, Accuracy: 99.46165466308594, Val Loss: 0.08210501074790955, Val Accuracy: 99.46723175048828
Epoch 53, Loss: 1.8533241748809814, Accuracy: 99.46165466308594, Val Loss: 0.08210183680057526, Val Accuracy: 99.46723175048828
Epoch 54, Loss: 1.8532689809799194, Accuracy: 99.46165466308594, Val Loss: 0.08210072666406631, Val Accuracy: 99.46723175048828
Epoch 55, Loss: 1.8532975912094116, Accuracy: 99.46165466308594, Val Loss: 0.08210314810276031, Val Accuracy: 99.46723175048828
Epoch 56, Loss: 1.8530817031860352, Accuracy: 99.46165466308594, Val Loss: 0.08209948986768723, Val Accuracy: 99.46723175048828
Epoch 57, Loss: 1.8530715703964233, Accuracy: 99.46165466308594, Val Loss: 0.08209890127182007, Val Accuracy: 99.46723937988281
Epoch 58, Loss: 1.8529828786849976, Accuracy: 99.46165466308594, Val Loss: 0.08209632337093353, Val Accuracy: 99.46723937988281
Epoch 59, Loss: 1.852990746498108, Accuracy: 99.46165466308594, Val Loss: 0.08209560811519623, Val Accuracy: 99.46723937988281
Epoch 60, Loss: 1.8529161214828491, Accuracy: 99.46165466308594, Val Loss: 0.08209493011236191, Val Accuracy: 99.46724700927734
Epoch 61, Loss: 1.8529260158538818, Accuracy: 99.46165466308594, Val Loss: 0.08209632337093353, Val Accuracy: 99.46724700927734
Epoch 62, Loss: 1.8528400659561157, Accuracy: 99.46165466308594, Val Loss: 0.08209313452243805, Val Accuracy: 99.4672622680664
Epoch 63, Loss: 1.8528379201889038, Accuracy: 99.46165466308594, Val Loss: 0.08209333568811417, Val Accuracy: 99.4672622680664
Epoch 64, Loss: 1.8527729511260986, Accuracy: 99.46165466308594, Val Loss: 0.08209068328142166, Val Accuracy: 99.4672622680664
Epoch 65, Loss: 1.852750539779663, Accuracy: 99.461669921875, Val Loss: 0.08208880573511124, Val Accuracy: 99.4672622680664
Epoch 66, Loss: 1.8527030944824219, Accuracy: 99.461669921875, Val Loss: 0.08208519220352173, Val Accuracy: 99.4672622680664
Epoch 67, Loss: 1.852657675743103, Accuracy: 99.461669921875, Val Loss: 0.08208388835191727, Val Accuracy: 99.46727752685547
Epoch 68, Loss: 1.852644681930542, Accuracy: 99.461669921875, Val Loss: 0.08208116143941879, Val Accuracy: 99.46727752685547
Epoch 69, Loss: 1.8525832891464233, Accuracy: 99.461669921875, Val Loss: 0.08207762241363525, Val Accuracy: 99.46727752685547
Epoch 70, Loss: 1.8525434732437134, Accuracy: 99.461669921875, Val Loss: 0.08207440376281738, Val Accuracy: 99.46727752685547
Epoch 71, Loss: 1.852499008178711, Accuracy: 99.461669921875, Val Loss: 0.08206987380981445, Val Accuracy: 99.46729278564453
Epoch 72, Loss: 1.852465033531189, Accuracy: 99.46168518066406, Val Loss: 0.08206722885370255, Val Accuracy: 99.46729278564453
Epoch 73, Loss: 1.8524284362792969, Accuracy: 99.46168518066406, Val Loss: 0.08206577599048615, Val Accuracy: 99.46729278564453
Epoch 74, Loss: 1.852410912513733, Accuracy: 99.46168518066406, Val Loss: 0.08206290006637573, Val Accuracy: 99.46729278564453
Epoch 75, Loss: 1.8523706197738647, Accuracy: 99.46168518066406, Val Loss: 0.08206291496753693, Val Accuracy: 99.46729278564453
Epoch 76, Loss: 1.8523435592651367, Accuracy: 99.46170806884766, Val Loss: 0.08205866813659668, Val Accuracy: 99.46729278564453
Epoch 77, Loss: 1.85227370262146, Accuracy: 99.46170806884766, Val Loss: 0.08205294609069824, Val Accuracy: 99.46729278564453
Epoch 78, Loss: 1.852248191833496, Accuracy: 99.46170806884766, Val Loss: 0.08205057680606842, Val Accuracy: 99.46729278564453
Epoch 79, Loss: 1.8522179126739502, Accuracy: 99.46170806884766, Val Loss: 0.08204714953899384, Val Accuracy: 99.46729278564453
Epoch 80, Loss: 1.8521896600723267, Accuracy: 99.46170806884766, Val Loss: 0.08204714953899384, Val Accuracy: 99.46729278564453
2/2 [==============================] - 2s 648ms/step
[I 2023-06-06 13:59:15,722] Trial 0 finished with value: 0.0 and parameters: {'learning_rate': 3.5527447078106904e-05, 'depth': 5, 'filters': 4, 'batch_size': 2, 'num_epochs': 80}. Best is trial 0 with value: 0.0.
Epoch 1, Loss: 11.124455451965332, Accuracy: 95.2530746459961, Val Loss: 0.08217005431652069, Val Accuracy: 99.4673080444336
Epoch 2, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 3, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 4, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 5, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 6, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 7, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 8, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 9, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
